Species,Site,Site2,Sex,Catalog#,Specimen#
phyllodactylus,carmabi,Curacao,F,R18437,12673
phyllodactylus,carmabi,Curacao,M,R18435,12704
phyllodactylus,carmabi,Curacao,F,R18436,12706
phyllodactylus,lagun,Curacao,M,R18462,12678
phyllodactylus,lagun,Curacao,F,R18463,12679
phyllodactylus,lagun,Curacao,F,R18466,12689
phyllodactylus,lagun,Curacao,F,R18461,12697
phyllodactylus,lagun,Curacao,M,R18467,12709
phyllodactylus,lagun,Curacao,M,R18626,112710
phyllodactylus,shete,Curacao,M,R18342,12644
phyllodactylus,shete,Curacao,F,R18343,12645
phyllodactylus,shete,Curacao,M,R18344,12646
phyllodactylus,shete,Curacao,M,R18345,12647
phyllodactylus,shete,Curacao,F,R18346,12648
phyllodactylus,shete,Curacao,F,R18347,12649
phyllodactylus,shete,Curacao,F,R18348,12650
phyllodactylus,shete,Curacao,F,R18349,12651
phyllodactylus,shete,Curacao,F,R18629,112714
phyllodactylus,shete,Curacao,M,R18625,112715
phyllodactylus,shete,Curacao,F,R18624,112716
phyllodactylus,shete,Curacao,M,R18627,112717
phyllodactylus,shete,Curacao,F,R18628,112718
phyllodactylus,shete,Curacao,na,na,112719
phyllodactylus,westpunt,Curacao,M,R18168,12513
phyllodactylus,westpunt,Curacao,M,R18169,12514
phyllodactylus,westpunt,Curacao,F,R18170,12515
phyllodactylus,westpunt,Curacao,F,R18171,12516
phyllodactylus,westpunt,Curacao,M,R18172,12517
phyllodactylus,westpunt,Curacao,F,R18173,12518
phyllodactylus,westpunt,Curacao,M,R18175,12520
phyllodactylus,westpunt,Curacao,F,R18176,12521
phyllodactylus,westpunt,Curacao,F,R18177,12522
phyllodactylus,westpunt,Curacao,M,R18179,12524
phyllodactylus,westpunt,Curacao,F,R18180,12525
phyllodactylus,westpunt,Curacao,F,R18183,12543
phyllodactylus,westpunt,Curacao,M,R18184,12544
phyllodactylus,westpunt,Curacao,M,R18167,12551
phyllodactylus,westpunt,Curacao,M,R18185,12582
phyllodactylus,westpunt,Curacao,F,R18187,12584
phyllodactylus,westpunt,Curacao,M,R18616,12615
phyllodactylus,westpunt,Curacao,F,R18617,12621
phyllodactylus,westpunt,Curacao,F,R18614,12622
phyllodactylus,westpunt,Curacao,F,R18645,12623
phyllodactylus,westpunt,Curacao,F,R18646,12636
phyllodactylus,westpunt,Curacao,F,R18622,12637
