Species,Site,Specimen
Phyllodactylus ,Westpunt,12513
Phyllodactylus ,Westpunt,12514
Phyllodactylus ,Westpunt,12515
Phyllodactylus ,Westpunt,12516
Phyllodactylus ,Westpunt,12517
Phyllodactylus ,Westpunt,12518
Phyllodactylus ,Westpunt,12519
Phyllodactylus ,Westpunt,12520
Phyllodactylus ,Westpunt,12521
Phyllodactylus ,Westpunt,12522
Phyllodactylus ,Westpunt,12523
Phyllodactylus ,Westpunt,12524
Phyllodactylus ,Westpunt,12525
Phyllodactylus ,Westpunt,12526
Phyllodactylus ,Westpunt,12541
Phyllodactylus ,Westpunt,12543
Phyllodactylus ,Westpunt,12544
Phyllodactylus ,Westpunt,12547
Phyllodactylus ,Westpunt,12550
Phyllodactylus ,Westpunt,12551
Phyllodactylus ,Westpunt,12582
Phyllodactylus ,Westpunt,12583
Phyllodactylus ,Westpunt,12584
Hemidactylus ,Westpunt,12611
Hemidactylus ,Westpunt,12612
Hemidactylus ,Westpunt,12613
Hemidactylus ,Westpunt,12614
Phyllodactylus ,Westpunt,12615
Phyllodactylus ,Westpunt,12617
Phyllodactylus ,Westpunt,12618
Phyllodactylus ,Westpunt,12619
Phyllodactylus ,Westpunt,12621
Phyllodactylus ,Westpunt,12622
Phyllodactylus ,Westpunt,12623
Hemidactylus ,Westpunt,12624
Hemidactylus ,Westpunt,12632
Hemidactylus ,Westpunt,12633
Hemidactylus ,Westpunt,12634
Phyllodactylus ,Westpunt,12636
Phyllodactylus ,Westpunt,12637
Phyllodactylus ,Westpunt,12638
Phyllodactylus ,Westpunt,12639
Phyllodactylus ,Westpunt,12640
Phyllodactylus ,Shete,12644
Phyllodactylus ,Shete,12645
Phyllodactylus ,Shete,12646
Phyllodactylus ,Shete,12648
Phyllodactylus ,Shete,12649
Phyllodactylus ,Shete,12650
Phyllodactylus ,Shete,12651
Hemidactylus ,Willemstad,12669
Hemidactylus ,Willemstad,12670
Hemidactylus ,Willemstad,12671
Hemidactylus ,Westpunt,12674
Phyllodactylus ,Westpunt,12675
Phyllodactylus ,Lagun,12678
Hemidactylus ,Lagun,12681
Phyllodactylus ,Lagun,12689
Hemidactylus ,Lagun,12690
Hemidactylus ,Lagun,12691
Hemidactylus ,Lagun,12692
Hemidactylus ,Lagun,12694
Hemidactylus ,Lagun,12695
Hemidactylus ,Lagun,12696
Phyllodactylus ,Lagun,12697
Hemidactylus ,Lagun,12702
Hemidactylus ,Carmabi,12703
Phyllodactylus ,Carmabi,12704
Hemidactylus ,Carmabi,12705
Phyllodactylus ,Carmabi,12706
Hemidactylus ,Lagun,12707
Phyllodactylus ,Lagun,12708
Phyllodactylus ,Lagun,12709
Phyllodactylus ,Lagun,12710
Hemidactylus ,Lagun,12711
Hemidactylus ,Lagun,12712
Hemidactylus ,Lagun,12713
Hemidactylus ,Willemstad,12714
Hemidactylus ,Willemstad,12715
Hemidactylus ,Willemstad,12716
Hemidactylus ,Willemstad,12718
Hemidactylus ,Willemstad,12719
Hemidactylus ,Westpunt,17557
Hemidactylus ,Westpunt,17563
Hemidactylus ,Westpunt,17564
Hemidactylus ,Westpunt,17565
Hemidactylus ,Westpunt,17566
Hemidactylus ,Westpunt,17567
Hemidactylus ,Westpunt,17568
Hemidactylus ,Westpunt,17569
Hemidactylus ,Westpunt,17570
Hemidactylus ,Westpunt,17571
Hemidactylus ,Westpunt,17572
Hemidactylus ,Westpunt,17573
Hemidactylus ,Westpunt,17574
Hemidactylus ,Westpunt,17575
Hemidactylus ,Westpunt,17576
Hemidactylus ,Westpunt,17577
Hemidactylus ,Westpunt,17578
Hemidactylus ,Willemstad,18121
Hemidactylus ,Willemstad,18122
Hemidactylus ,Willemstad,18124
Hemidactylus ,Westpunt,18127
Hemidactylus ,Westpunt,18129
Hemidactylus ,Westpunt,18130
Hemidactylus ,Westpunt,18131
Hemidactylus ,Westpunt,18132
Hemidactylus ,Westpunt,18133
Hemidactylus ,Westpunt,18134
Hemidactylus ,Westpunt,18135
Hemidactylus ,Westpunt,18136
Hemidactylus ,Westpunt,18137
Hemidactylus ,Westpunt,18138
Hemidactylus ,Westpunt,18139
Hemidactylus ,Westpunt,18140
Hemidactylus ,Westpunt,18142
Hemidactylus ,Westpunt,18143
Hemidactylus ,Westpunt,18144
Hemidactylus ,Westpunt,18145
Hemidactylus ,Westpunt,18146
Hemidactylus ,Willemstad,18149
Hemidactylus ,Willemstad,18150
Hemidactylus ,Willemstad,18151
Hemidactylus ,Willemstad,18152
Hemidactylus ,Willemstad,18154
Hemidactylus ,Willemstad,18155
Phyllodactylus ,Shete,112710
Phyllodactylus ,Shete,112714
Phyllodactylus ,Shete,112715
Phyllodactylus ,Shete,112716
Phyllodactylus ,Shete,112717
Phyllodactylus ,Shete,112718
Hemidactylus ,uknown,a1
Hemidactylus ,uknown,a2
Hemidactylus ,uknown,a3
Hemidactylus ,uknown,a4
