Species,Site,Site2,Sex,Catalog#,Specimen#,Diptera,Lepidoptera,Coleoptera,Archnid_scorp,Archnid_spider,Other,Nematodes,Centipede,Isopod,Hemiptera,Hymenoptera,Orthoptera,Ephermeroptera,Gecko_skin,Blattaria,Ramphotyphlops,Gonatodes_antillensis,Phyllodactylus_martini
phyllodactylus,carmabi,Curacao,F,R18437,12673,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
phyllodactylus,carmabi,Curacao,M,R18435,12704,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
phyllodactylus,carmabi,Curacao,F,R18436,12706,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
phyllodactylus,lagun,Curacao,M,R18462,12678,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phyllodactylus,lagun,Curacao,F,R18463,12679,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
phyllodactylus,lagun,Curacao,F,R18466,12689,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
phyllodactylus,lagun,Curacao,F,R18461,12697,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
phyllodactylus,lagun,Curacao,M,R18467,12709,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
phyllodactylus,lagun,Curacao,M,R18626,112710,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phyllodactylus,shete,Curacao,M,R18342,12644,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
phyllodactylus,shete,Curacao,F,R18343,12645,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phyllodactylus,shete,Curacao,M,R18344,12646,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
phyllodactylus,shete,Curacao,M,R18345,12647,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
phyllodactylus,shete,Curacao,F,R18346,12648,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
