Species,Specimen,Site,Diptera,Lepidoptera,Coleoptera,Archnid_scorp,Archnid_spider,Other,Centipede,Isopod,Hemiptera,Hymenoptera,Orthoptera,Ephermeroptera,Gecko_skin,Blattaria,Empty,Ramphotyphlops,Gonatodes antillensis,Phylodactylus
Hemidactylus mabuoia,12595,Carmabi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12673,Carmabi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12703,Carmabi,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
Phylodactylus,12704,Carmabi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12705,Carmabi,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12706,Carmabi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12678,Lagun,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12679,Lagun,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hemidactylus mabuoia,12681,Lagun,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Phylodactylus,12689,Lagun,0,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0
Hemidactylus mabuoia,12690,Lagun,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12691,Lagun,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hemidactylus mabuoia,12692,Lagun,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12694,Lagun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hemidactylus mabuoia,12695,Lagun,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12696,Lagun,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Phylodactylus,12697,Lagun,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Hemidactylus mabuoia,12702,Lagun,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12708,Lagun,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12709,Lagun,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12711,Lagun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hemidactylus mabuoia,12712,Lagun,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,112710,Lagun,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12591,Marriot Resort,0,0.2,0,0,0.4,0,0,0,0.4,0,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12592,Marriot Resort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hemidactylus mabuoia,12594,Marriot Resort,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Phylodactylus,12644,Shete,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12645,Shete,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12646,Shete,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12647,Shete,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12648,Shete,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12649,Shete,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12650,Shete,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
Phylodactylus,12651,Shete,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,112714,Shete,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,112715,Shete,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0
Phylodactylus,112716,Shete,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Phylodactylus,112717,Shete,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Phylodactylus,112718,Shete,0,0.111111111,0,0.111111111,0.111111111,0,0,0.555555556,0,0,0.111111111,0,0,0,0,0,0,0
Phylodactylus,112719,Shete,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12506,Westpunt,0.333333333,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12507,Westpunt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12508,Westpunt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemidactylus mabuoia,12509,Westpunt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hemidactylus mabuoia,12510,Westpunt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12513,Westpunt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12514,Westpunt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12515,Westpunt,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12516,Westpunt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phylodactylus,12517,Westpunt,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
