"","Species","Specimen","Site","variable","value"
"1","Hemidactylus mabuoia","12595","Carmabi","Diptera",0
"2","Phylodactylus","12673","Carmabi","Diptera",0
"3","Hemidactylus mabuoia","12703","Carmabi","Diptera",0
"4","Phylodactylus","12704","Carmabi","Diptera",0
"5","Hemidactylus mabuoia","12705","Carmabi","Diptera",0
"6","Phylodactylus","12706","Carmabi","Diptera",0
"132","Hemidactylus mabuoia","12595","Carmabi","Lepidoptera",0
"133","Phylodactylus","12673","Carmabi","Lepidoptera",0
"134","Hemidactylus mabuoia","12703","Carmabi","Lepidoptera",0
"135","Phylodactylus","12704","Carmabi","Lepidoptera",0
"136","Hemidactylus mabuoia","12705","Carmabi","Lepidoptera",0
"137","Phylodactylus","12706","Carmabi","Lepidoptera",0
"263","Hemidactylus mabuoia","12595","Carmabi","Coleoptera",0
"264","Phylodactylus","12673","Carmabi","Coleoptera",0
"265","Hemidactylus mabuoia","12703","Carmabi","Coleoptera",0
"266","Phylodactylus","12704","Carmabi","Coleoptera",0
"267","Hemidactylus mabuoia","12705","Carmabi","Coleoptera",0.5
"268","Phylodactylus","12706","Carmabi","Coleoptera",0
"394","Hemidactylus mabuoia","12595","Carmabi","Archnid_scorp",0
"395","Phylodactylus","12673","Carmabi","Archnid_scorp",0
"396","Hemidactylus mabuoia","12703","Carmabi","Archnid_scorp",0
"397","Phylodactylus","12704","Carmabi","Archnid_scorp",0
"398","Hemidactylus mabuoia","12705","Carmabi","Archnid_scorp",0
"399","Phylodactylus","12706","Carmabi","Archnid_scorp",0
"525","Hemidactylus mabuoia","12595","Carmabi","Archnid_spider",0
"526","Phylodactylus","12673","Carmabi","Archnid_spider",0
"527","Hemidactylus mabuoia","12703","Carmabi","Archnid_spider",0
"528","Phylodactylus","12704","Carmabi","Archnid_spider",0
"529","Hemidactylus mabuoia","12705","Carmabi","Archnid_spider",0.5
"530","Phylodactylus","12706","Carmabi","Archnid_spider",0
"656","Hemidactylus mabuoia","12595","Carmabi","Other",0
"657","Phylodactylus","12673","Carmabi","Other",0
"658","Hemidactylus mabuoia","12703","Carmabi","Other",0
"659","Phylodactylus","12704","Carmabi","Other",0
"660","Hemidactylus mabuoia","12705","Carmabi","Other",0
"661","Phylodactylus","12706","Carmabi","Other",1
"787","Hemidactylus mabuoia","12595","Carmabi","Centipede",0
"788","Phylodactylus","12673","Carmabi","Centipede",0
"789","Hemidactylus mabuoia","12703","Carmabi","Centipede",0
"790","Phylodactylus","12704","Carmabi","Centipede",0
"791","Hemidactylus mabuoia","12705","Carmabi","Centipede",0
"792","Phylodactylus","12706","Carmabi","Centipede",0
"918","Hemidactylus mabuoia","12595","Carmabi","Isopod",1
"919","Phylodactylus","12673","Carmabi","Isopod",0
"920","Hemidactylus mabuoia","12703","Carmabi","Isopod",0
"921","Phylodactylus","12704","Carmabi","Isopod",0
"922","Hemidactylus mabuoia","12705","Carmabi","Isopod",0
"923","Phylodactylus","12706","Carmabi","Isopod",0
"1049","Hemidactylus mabuoia","12595","Carmabi","Hemiptera",0
"1050","Phylodactylus","12673","Carmabi","Hemiptera",0
