"","Species","Specimen","Site","variable","value"
"27","Phylodactylus","12644","Shete","Diptera",0
"28","Phylodactylus","12645","Shete","Diptera",0
"29","Phylodactylus","12646","Shete","Diptera",0
"30","Phylodactylus","12647","Shete","Diptera",0
"31","Phylodactylus","12648","Shete","Diptera",0
"32","Phylodactylus","12649","Shete","Diptera",0
"33","Phylodactylus","12650","Shete","Diptera",0
"34","Phylodactylus","12651","Shete","Diptera",0
"35","Phylodactylus","112714","Shete","Diptera",0
"36","Phylodactylus","112715","Shete","Diptera",0
"37","Phylodactylus","112716","Shete","Diptera",0
"38","Phylodactylus","112717","Shete","Diptera",0
"39","Phylodactylus","112718","Shete","Diptera",0
"40","Phylodactylus","112719","Shete","Diptera",0
"159","Phylodactylus","12644","Shete","Lepidoptera",0
"160","Phylodactylus","12645","Shete","Lepidoptera",0
"161","Phylodactylus","12646","Shete","Lepidoptera",0
"162","Phylodactylus","12647","Shete","Lepidoptera",0
"163","Phylodactylus","12648","Shete","Lepidoptera",0
"164","Phylodactylus","12649","Shete","Lepidoptera",0
"165","Phylodactylus","12650","Shete","Lepidoptera",0
"166","Phylodactylus","12651","Shete","Lepidoptera",0
"167","Phylodactylus","112714","Shete","Lepidoptera",0
"168","Phylodactylus","112715","Shete","Lepidoptera",0
"169","Phylodactylus","112716","Shete","Lepidoptera",0
"170","Phylodactylus","112717","Shete","Lepidoptera",0
"171","Phylodactylus","112718","Shete","Lepidoptera",0.111111111
"172","Phylodactylus","112719","Shete","Lepidoptera",0
"291","Phylodactylus","12644","Shete","Coleoptera",0
"292","Phylodactylus","12645","Shete","Coleoptera",1
"293","Phylodactylus","12646","Shete","Coleoptera",0
"294","Phylodactylus","12647","Shete","Coleoptera",0
"295","Phylodactylus","12648","Shete","Coleoptera",0
"296","Phylodactylus","12649","Shete","Coleoptera",1
"297","Phylodactylus","12650","Shete","Coleoptera",0
"298","Phylodactylus","12651","Shete","Coleoptera",0
"299","Phylodactylus","112714","Shete","Coleoptera",0
"300","Phylodactylus","112715","Shete","Coleoptera",0
"301","Phylodactylus","112716","Shete","Coleoptera",0.5
"302","Phylodactylus","112717","Shete","Coleoptera",0
"303","Phylodactylus","112718","Shete","Coleoptera",0
"304","Phylodactylus","112719","Shete","Coleoptera",0
"423","Phylodactylus","12644","Shete","Archnid_scorp",0
"424","Phylodactylus","12645","Shete","Archnid_scorp",0
"425","Phylodactylus","12646","Shete","Archnid_scorp",0
"426","Phylodactylus","12647","Shete","Archnid_scorp",0
"427","Phylodactylus","12648","Shete","Archnid_scorp",0
"428","Phylodactylus","12649","Shete","Archnid_scorp",0
"429","Phylodactylus","12650","Shete","Archnid_scorp",0
"430","Phylodactylus","12651","Shete","Archnid_scorp",0
"431","Phylodactylus","112714","Shete","Archnid_scorp",0
"432","Phylodactylus","112715","Shete","Archnid_scorp",0
"433","Phylodactylus","112716","Shete","Archnid_scorp",0
"434","Phylodactylus","112717","Shete","Archnid_scorp",0
"435","Phylodactylus","112718","Shete","Archnid_scorp",0.111111111
"436","Phylodactylus","112719","Shete","Archnid_scorp",0
"555","Phylodactylus","12644","Shete","Archnid_spider",0
"556","Phylodactylus","12645","Shete","Archnid_spider",0
"557","Phylodactylus","12646","Shete","Archnid_spider",0
"558","Phylodactylus","12647","Shete","Archnid_spider",0
"559","Phylodactylus","12648","Shete","Archnid_spider",0.5
"560","Phylodactylus","12649","Shete","Archnid_spider",0
"561","Phylodactylus","12650","Shete","Archnid_spider",0
"562","Phylodactylus","12651","Shete","Archnid_spider",0
"563","Phylodactylus","112714","Shete","Archnid_spider",1
"564","Phylodactylus","112715","Shete","Archnid_spider",0.333333333
"565","Phylodactylus","112716","Shete","Archnid_spider",0
"566","Phylodactylus","112717","Shete","Archnid_spider",0
"567","Phylodactylus","112718","Shete","Archnid_spider",0.111111111
"568","Phylodactylus","112719","Shete","Archnid_spider",0
"687","Phylodactylus","12644","Shete","Other",1
"688","Phylodactylus","12645","Shete","Other",0
"689","Phylodactylus","12646","Shete","Other",1
"690","Phylodactylus","12647","Shete","Other",1
"691","Phylodactylus","12648","Shete","Other",0
"692","Phylodactylus","12649","Shete","Other",0
"693","Phylodactylus","12650","Shete","Other",0
"694","Phylodactylus","12651","Shete","Other",1
"695","Phylodactylus","112714","Shete","Other",0
"696","Phylodactylus","112715","Shete","Other",0
"697","Phylodactylus","112716","Shete","Other",0
"698","Phylodactylus","112717","Shete","Other",0
"699","Phylodactylus","112718","Shete","Other",0
"700","Phylodactylus","112719","Shete","Other",1
"819","Phylodactylus","12644","Shete","Centipede",0
"820","Phylodactylus","12645","Shete","Centipede",0
"821","Phylodactylus","12646","Shete","Centipede",0
"822","Phylodactylus","12647","Shete","Centipede",0
"823","Phylodactylus","12648","Shete","Centipede",0
"824","Phylodactylus","12649","Shete","Centipede",0
"825","Phylodactylus","12650","Shete","Centipede",0
"826","Phylodactylus","12651","Shete","Centipede",0
"827","Phylodactylus","112714","Shete","Centipede",0
"828","Phylodactylus","112715","Shete","Centipede",0
"829","Phylodactylus","112716","Shete","Centipede",0
"830","Phylodactylus","112717","Shete","Centipede",0
"831","Phylodactylus","112718","Shete","Centipede",0
"832","Phylodactylus","112719","Shete","Centipede",0
"951","Phylodactylus","12644","Shete","Isopod",0
"952","Phylodactylus","12645","Shete","Isopod",0
"953","Phylodactylus","12646","Shete","Isopod",0
"954","Phylodactylus","12647","Shete","Isopod",0
"955","Phylodactylus","12648","Shete","Isopod",0.5
"956","Phylodactylus","12649","Shete","Isopod",0
"957","Phylodactylus","12650","Shete","Isopod",0.5
"958","Phylodactylus","12651","Shete","Isopod",0
"959","Phylodactylus","112714","Shete","Isopod",0
"960","Phylodactylus","112715","Shete","Isopod",0.333333333
"961","Phylodactylus","112716","Shete","Isopod",0
"962","Phylodactylus","112717","Shete","Isopod",0
"963","Phylodactylus","112718","Shete","Isopod",0.555555556
"964","Phylodactylus","112719","Shete","Isopod",0
"1083","Phylodactylus","12644","Shete","Hemiptera",0
"1084","Phylodactylus","12645","Shete","Hemiptera",0
"1085","Phylodactylus","12646","Shete","Hemiptera",0
"1086","Phylodactylus","12647","Shete","Hemiptera",0
"1087","Phylodactylus","12648","Shete","Hemiptera",0
"1088","Phylodactylus","12649","Shete","Hemiptera",0
"1089","Phylodactylus","12650","Shete","Hemiptera",0
"1090","Phylodactylus","12651","Shete","Hemiptera",0
"1091","Phylodactylus","112714","Shete","Hemiptera",0
"1092","Phylodactylus","112715","Shete","Hemiptera",0
"1093","Phylodactylus","112716","Shete","Hemiptera",0
