"","Species","Specimen","Site","variable","value"
"121","Hemidactylus mabuoia","12596","Willemstad","Diptera",0
"122","Hemidactylus mabuoia","12598","Willemstad","Diptera",0
"123","Hemidactylus mabuoia","12669","Willemstad","Diptera",0
"124","Hemidactylus mabuoia","12670","Willemstad","Diptera",0
"125","Hemidactylus mabuoia","12671","Willemstad","Diptera",0
"126","Hemidactylus mabuoia","12672","Willemstad","Diptera",0
"127","Hemidactylus mabuoia","12714","Willemstad","Diptera",0
"128","Hemidactylus mabuoia","12715","Willemstad","Diptera",0
"129","Hemidactylus mabuoia","12716","Willemstad","Diptera",0
"130","Hemidactylus mabuoia","12717","Willemstad","Diptera",0
"131","Hemidactylus mabuoia","12718","Willemstad","Diptera",0
"253","Hemidactylus mabuoia","12596","Willemstad","Lepidoptera",0
"254","Hemidactylus mabuoia","12598","Willemstad","Lepidoptera",0
"255","Hemidactylus mabuoia","12669","Willemstad","Lepidoptera",0
"256","Hemidactylus mabuoia","12670","Willemstad","Lepidoptera",0
"257","Hemidactylus mabuoia","12671","Willemstad","Lepidoptera",0
"258","Hemidactylus mabuoia","12672","Willemstad","Lepidoptera",0
"259","Hemidactylus mabuoia","12714","Willemstad","Lepidoptera",0
"260","Hemidactylus mabuoia","12715","Willemstad","Lepidoptera",0
"261","Hemidactylus mabuoia","12716","Willemstad","Lepidoptera",0
"262","Hemidactylus mabuoia","12717","Willemstad","Lepidoptera",0
"263","Hemidactylus mabuoia","12718","Willemstad","Lepidoptera",0
"385","Hemidactylus mabuoia","12596","Willemstad","Coleoptera",0
"386","Hemidactylus mabuoia","12598","Willemstad","Coleoptera",1
"387","Hemidactylus mabuoia","12669","Willemstad","Coleoptera",0
"388","Hemidactylus mabuoia","12670","Willemstad","Coleoptera",0
"389","Hemidactylus mabuoia","12671","Willemstad","Coleoptera",0
"390","Hemidactylus mabuoia","12672","Willemstad","Coleoptera",0
"391","Hemidactylus mabuoia","12714","Willemstad","Coleoptera",0
"392","Hemidactylus mabuoia","12715","Willemstad","Coleoptera",0
"393","Hemidactylus mabuoia","12716","Willemstad","Coleoptera",0
"394","Hemidactylus mabuoia","12717","Willemstad","Coleoptera",0
"395","Hemidactylus mabuoia","12718","Willemstad","Coleoptera",0
"517","Hemidactylus mabuoia","12596","Willemstad","Archnid_scorp",0
"518","Hemidactylus mabuoia","12598","Willemstad","Archnid_scorp",0
"519","Hemidactylus mabuoia","12669","Willemstad","Archnid_scorp",0
"520","Hemidactylus mabuoia","12670","Willemstad","Archnid_scorp",0
"521","Hemidactylus mabuoia","12671","Willemstad","Archnid_scorp",0
"522","Hemidactylus mabuoia","12672","Willemstad","Archnid_scorp",0
"523","Hemidactylus mabuoia","12714","Willemstad","Archnid_scorp",0
"524","Hemidactylus mabuoia","12715","Willemstad","Archnid_scorp",0
"525","Hemidactylus mabuoia","12716","Willemstad","Archnid_scorp",0
"526","Hemidactylus mabuoia","12717","Willemstad","Archnid_scorp",0
"527","Hemidactylus mabuoia","12718","Willemstad","Archnid_scorp",0
"649","Hemidactylus mabuoia","12596","Willemstad","Archnid_spider",0.5
"650","Hemidactylus mabuoia","12598","Willemstad","Archnid_spider",0
"651","Hemidactylus mabuoia","12669","Willemstad","Archnid_spider",0
"652","Hemidactylus mabuoia","12670","Willemstad","Archnid_spider",0
"653","Hemidactylus mabuoia","12671","Willemstad","Archnid_spider",0.5
"654","Hemidactylus mabuoia","12672","Willemstad","Archnid_spider",0
"655","Hemidactylus mabuoia","12714","Willemstad","Archnid_spider",0
"656","Hemidactylus mabuoia","12715","Willemstad","Archnid_spider",0
"657","Hemidactylus mabuoia","12716","Willemstad","Archnid_spider",0
"658","Hemidactylus mabuoia","12717","Willemstad","Archnid_spider",0
"659","Hemidactylus mabuoia","12718","Willemstad","Archnid_spider",0
"781","Hemidactylus mabuoia","12596","Willemstad","Other",0
"782","Hemidactylus mabuoia","12598","Willemstad","Other",0
"783","Hemidactylus mabuoia","12669","Willemstad","Other",0
"784","Hemidactylus mabuoia","12670","Willemstad","Other",0
"785","Hemidactylus mabuoia","12671","Willemstad","Other",0
"786","Hemidactylus mabuoia","12672","Willemstad","Other",0
"787","Hemidactylus mabuoia","12714","Willemstad","Other",0
"788","Hemidactylus mabuoia","12715","Willemstad","Other",0
"789","Hemidactylus mabuoia","12716","Willemstad","Other",0
"790","Hemidactylus mabuoia","12717","Willemstad","Other",0
"791","Hemidactylus mabuoia","12718","Willemstad","Other",0
"913","Hemidactylus mabuoia","12596","Willemstad","Centipede",0
"914","Hemidactylus mabuoia","12598","Willemstad","Centipede",0
"915","Hemidactylus mabuoia","12669","Willemstad","Centipede",0
"916","Hemidactylus mabuoia","12670","Willemstad","Centipede",0
"917","Hemidactylus mabuoia","12671","Willemstad","Centipede",0
"918","Hemidactylus mabuoia","12672","Willemstad","Centipede",0
"919","Hemidactylus mabuoia","12714","Willemstad","Centipede",0
"920","Hemidactylus mabuoia","12715","Willemstad","Centipede",0
"921","Hemidactylus mabuoia","12716","Willemstad","Centipede",0
"922","Hemidactylus mabuoia","12717","Willemstad","Centipede",0
"923","Hemidactylus mabuoia","12718","Willemstad","Centipede",0
"1045","Hemidactylus mabuoia","12596","Willemstad","Isopod",0.5
"1046","Hemidactylus mabuoia","12598","Willemstad","Isopod",0
"1047","Hemidactylus mabuoia","12669","Willemstad","Isopod",0
"1048","Hemidactylus mabuoia","12670","Willemstad","Isopod",0
"1049","Hemidactylus mabuoia","12671","Willemstad","Isopod",0
"1050","Hemidactylus mabuoia","12672","Willemstad","Isopod",0
"1051","Hemidactylus mabuoia","12714","Willemstad","Isopod",0
"1052","Hemidactylus mabuoia","12715","Willemstad","Isopod",0
"1053","Hemidactylus mabuoia","12716","Willemstad","Isopod",1
"1054","Hemidactylus mabuoia","12717","Willemstad","Isopod",0
"1055","Hemidactylus mabuoia","12718","Willemstad","Isopod",0
"1177","Hemidactylus mabuoia","12596","Willemstad","Hemiptera",0
"1178","Hemidactylus mabuoia","12598","Willemstad","Hemiptera",0
