,Species,Specimen,variable,value
6,Phylodactylus,12513,Diptera,1
7,Phylodactylus,12514,Diptera,0
8,Phylodactylus,12515,Diptera,0
9,Phylodactylus,12516,Diptera,0
10,Phylodactylus,12517,Diptera,0
11,Phylodactylus,12518,Diptera,0
12,Phylodactylus,12520,Diptera,0
13,Phylodactylus,12521,Diptera,0
14,Phylodactylus,12522,Diptera,0.333333333
15,Phylodactylus,12524,Diptera,0
16,Phylodactylus,12525,Diptera,0
18,Phylodactylus,12541,Diptera,0
19,Phylodactylus,12543,Diptera,0
20,Phylodactylus,12544,Diptera,0
21,Phylodactylus,12547,Diptera,0
22,Phylodactylus,12551,Diptera,0.5
27,Phylodactylus,12582,Diptera,0.5
28,Phylodactylus,12583,Diptera,0
29,Phylodactylus,12584,Diptera,0
36,Phylodactylus,12615,Diptera,0
37,Phylodactylus,12618,Diptera,0
38,Phylodactylus,12621,Diptera,0
39,Phylodactylus,12622,Diptera,0
40,Phylodactylus,12623,Diptera,0
44,Phylodactylus,12636,Diptera,0
45,Phylodactylus,12637,Diptera,0
46,Phylodactylus,12638,Diptera,0
47,Phylodactylus,12639,Diptera,0
48,Phylodactylus,12640,Diptera,0
49,Phylodactylus,12644,Diptera,0
50,Phylodactylus,12645,Diptera,0
51,Phylodactylus,12646,Diptera,0
52,Phylodactylus,12647,Diptera,0
53,Phylodactylus,12648,Diptera,0
54,Phylodactylus,12649,Diptera,0
55,Phylodactylus,12650,Diptera,0
56,Phylodactylus,12651,Diptera,0
61,Phylodactylus,12673,Diptera,0
64,Phylodactylus,12678,Diptera,0
65,Phylodactylus,12679,Diptera,0
67,Phylodactylus,12689,Diptera,0
74,Phylodactylus,12697,Diptera,0
77,Phylodactylus,12704,Diptera,0
79,Phylodactylus,12706,Diptera,0
81,Phylodactylus,12709,Diptera,0
89,Phylodactylus,112710,Diptera,0
90,Phylodactylus,112714,Diptera,0
91,Phylodactylus,112715,Diptera,0
92,Phylodactylus,112716,Diptera,0
93,Phylodactylus,112717,Diptera,0
94,Phylodactylus,112718,Diptera,0
95,Phylodactylus,112719,Diptera,0
96,Phylodactylus,MCB 1098,Diptera,0
97,Phylodactylus,MCB 1099,Diptera,0
98,Phylodactylus,MCB 1100,Diptera,1
99,Phylodactylus,MCB 1101,Diptera,0
100,Phylodactylus,MCB 1102,Diptera,0
101,Phylodactylus,MCB 1103,Diptera,0
102,Phylodactylus,MCB 1104,Diptera,0
103,Phylodactylus,MCB 1105,Diptera,0
104,Phylodactylus,MCB 1106,Diptera,0
105,Phylodactylus,MCB 1107,Diptera,0
106,Phylodactylus,MCB 1108,Diptera,0
107,Phylodactylus,MCB 1109,Diptera,0.5
108,Phylodactylus,MCB 1110,Diptera,0
109,Phylodactylus,MCB 1111,Diptera,0
110,Phylodactylus,MCB 1112,Diptera,0.5
111,Phylodactylus,MCB 1113,Diptera,0
112,Phylodactylus,MCB 1114,Diptera,0
