,Species,Specimen,Site,variable,value
2,Phylodactylus,12673,Carmabi,Diptera,0
4,Phylodactylus,12704,Carmabi,Diptera,0
6,Phylodactylus,12706,Carmabi,Diptera,0
133,Phylodactylus,12673,Carmabi,Lepidoptera,0
135,Phylodactylus,12704,Carmabi,Lepidoptera,0
137,Phylodactylus,12706,Carmabi,Lepidoptera,0
264,Phylodactylus,12673,Carmabi,Coleoptera,0
266,Phylodactylus,12704,Carmabi,Coleoptera,0
268,Phylodactylus,12706,Carmabi,Coleoptera,0
395,Phylodactylus,12673,Carmabi,Archnid_scorp,0
397,Phylodactylus,12704,Carmabi,Archnid_scorp,0
399,Phylodactylus,12706,Carmabi,Archnid_scorp,0
526,Phylodactylus,12673,Carmabi,Archnid_spider,0
528,Phylodactylus,12704,Carmabi,Archnid_spider,0
530,Phylodactylus,12706,Carmabi,Archnid_spider,0
657,Phylodactylus,12673,Carmabi,Other,0
659,Phylodactylus,12704,Carmabi,Other,0
661,Phylodactylus,12706,Carmabi,Other,1
788,Phylodactylus,12673,Carmabi,Centipede,0
790,Phylodactylus,12704,Carmabi,Centipede,0
792,Phylodactylus,12706,Carmabi,Centipede,0
919,Phylodactylus,12673,Carmabi,Isopod,0
921,Phylodactylus,12704,Carmabi,Isopod,0
923,Phylodactylus,12706,Carmabi,Isopod,0
1050,Phylodactylus,12673,Carmabi,Hemiptera,0
1052,Phylodactylus,12704,Carmabi,Hemiptera,0
1054,Phylodactylus,12706,Carmabi,Hemiptera,0
1181,Phylodactylus,12673,Carmabi,Hymenoptera,1
1183,Phylodactylus,12704,Carmabi,Hymenoptera,1
1185,Phylodactylus,12706,Carmabi,Hymenoptera,0
1312,Phylodactylus,12673,Carmabi,Orthoptera,0
1314,Phylodactylus,12704,Carmabi,Orthoptera,0
1316,Phylodactylus,12706,Carmabi,Orthoptera,0
1443,Phylodactylus,12673,Carmabi,Ephermeroptera,0
1445,Phylodactylus,12704,Carmabi,Ephermeroptera,0
1447,Phylodactylus,12706,Carmabi,Ephermeroptera,0
1574,Phylodactylus,12673,Carmabi,Gecko_skin,0
1576,Phylodactylus,12704,Carmabi,Gecko_skin,0
1578,Phylodactylus,12706,Carmabi,Gecko_skin,0
1705,Phylodactylus,12673,Carmabi,Blattaria,0
1707,Phylodactylus,12704,Carmabi,Blattaria,0
1709,Phylodactylus,12706,Carmabi,Blattaria,0
1836,Phylodactylus,12673,Carmabi,Empty,0
1838,Phylodactylus,12704,Carmabi,Empty,0
1840,Phylodactylus,12706,Carmabi,Empty,0
1967,Phylodactylus,12673,Carmabi,Ramphotyphlops,0
1969,Phylodactylus,12704,Carmabi,Ramphotyphlops,0
1971,Phylodactylus,12706,Carmabi,Ramphotyphlops,0
2098,Phylodactylus,12673,Carmabi,Gonatodes.antillensis,0
2100,Phylodactylus,12704,Carmabi,Gonatodes.antillensis,0
2102,Phylodactylus,12706,Carmabi,Gonatodes.antillensis,0
2229,Phylodactylus,12673,Carmabi,Phylodactylus,0
2231,Phylodactylus,12704,Carmabi,Phylodactylus,0
2233,Phylodactylus,12706,Carmabi,Phylodactylus,0
7,Phylodactylus,12678,Lagun,Diptera,0
8,Phylodactylus,12679,Lagun,Diptera,0
10,Phylodactylus,12689,Lagun,Diptera,0
17,Phylodactylus,12697,Lagun,Diptera,0
20,Phylodactylus,12709,Lagun,Diptera,0
23,Phylodactylus,112710,Lagun,Diptera,0
138,Phylodactylus,12678,Lagun,Lepidoptera,1
139,Phylodactylus,12679,Lagun,Lepidoptera,0
141,Phylodactylus,12689,Lagun,Lepidoptera,0
148,Phylodactylus,12697,Lagun,Lepidoptera,0
151,Phylodactylus,12709,Lagun,Lepidoptera,0
154,Phylodactylus,112710,Lagun,Lepidoptera,0
269,Phylodactylus,12678,Lagun,Coleoptera,0
270,Phylodactylus,12679,Lagun,Coleoptera,0
272,Phylodactylus,12689,Lagun,Coleoptera,0
279,Phylodactylus,12697,Lagun,Coleoptera,0
282,Phylodactylus,12709,Lagun,Coleoptera,0
285,Phylodactylus,112710,Lagun,Coleoptera,0
400,Phylodactylus,12678,Lagun,Archnid_scorp,0
401,Phylodactylus,12679,Lagun,Archnid_scorp,0
403,Phylodactylus,12689,Lagun,Archnid_scorp,0
410,Phylodactylus,12697,Lagun,Archnid_scorp,0
413,Phylodactylus,12709,Lagun,Archnid_scorp,0
416,Phylodactylus,112710,Lagun,Archnid_scorp,1
531,Phylodactylus,12678,Lagun,Archnid_spider,0
532,Phylodactylus,12679,Lagun,Archnid_spider,0
534,Phylodactylus,12689,Lagun,Archnid_spider,0.333333333
541,Phylodactylus,12697,Lagun,Archnid_spider,0.5
544,Phylodactylus,12709,Lagun,Archnid_spider,1
547,Phylodactylus,112710,Lagun,Archnid_spider,0
662,Phylodactylus,12678,Lagun,Other,0
663,Phylodactylus,12679,Lagun,Other,0
665,Phylodactylus,12689,Lagun,Other,0
672,Phylodactylus,12697,Lagun,Other,0
675,Phylodactylus,12709,Lagun,Other,0
678,Phylodactylus,112710,Lagun,Other,0
793,Phylodactylus,12678,Lagun,Centipede,0
794,Phylodactylus,12679,Lagun,Centipede,0
796,Phylodactylus,12689,Lagun,Centipede,0
803,Phylodactylus,12697,Lagun,Centipede,0
806,Phylodactylus,12709,Lagun,Centipede,0
809,Phylodactylus,112710,Lagun,Centipede,0
924,Phylodactylus,12678,Lagun,Isopod,0
925,Phylodactylus,12679,Lagun,Isopod,0
927,Phylodactylus,12689,Lagun,Isopod,0
934,Phylodactylus,12697,Lagun,Isopod,0
937,Phylodactylus,12709,Lagun,Isopod,0
940,Phylodactylus,112710,Lagun,Isopod,0
1055,Phylodactylus,12678,Lagun,Hemiptera,0
1056,Phylodactylus,12679,Lagun,Hemiptera,0
